=================================================================
# Hyperparameter Tuning Run  --  2026-05-25 01:42:32.935485
# Sweep: alpha / gamma / softmax_lambda
# Reward shaping: locked to defaults
# Configs total: 10  |  To run: 10  |  Skipped (done): 0
# Training battles per config : 8000
# Eval battles per config     : 500
=================================================================

>>> Config 1/10: baseline

=================================================================
[baseline]  alpha=0.1  gamma=0.95  lambda=1.0
  reward shaping: locked to defaults {'k_d': 40.0, 'k_t': 30.0, 'KO_bonus': 20.0, 'faint_penalty': 20.0, 'status_bonus': 5.0, 'time_penalty': 0.1, 'w_hp': 1.0, 'w_alive': 8.0, 'w_type': 2.0}
=================================================================
  [TRAIN] Starting 8000 battles...
    [ 2600/8000]  win=91.1%  states=7350  t=232s
    [ 2700/8000]  win=91.1%  states=7426  t=240s
    [ 2800/8000]  win=91.1%  states=7493  t=248s
    [ 2900/8000]  win=91.0%  states=7546  t=257s
    [ 3000/8000]  win=91.0%  states=7599  t=265s
    [ 3100/8000]  win=91.0%  states=7662  t=272s
    [ 3200/8000]  win=91.1%  states=7743  t=280s
    [ 3300/8000]  win=91.0%  states=7787  t=288s
    [ 3400/8000]  win=91.2%  states=7833  t=296s
    [ 3500/8000]  win=91.2%  states=7890  t=305s
    [ 3600/8000]  win=91.3%  states=7931  t=312s
    [ 3700/8000]  win=91.3%  states=7957  t=320s
    [ 3800/8000]  win=91.3%  states=7994  t=328s
    [ 3900/8000]  win=91.3%  states=8027  t=335s
    [ 4000/8000]  win=91.5%  states=8062  t=342s
    [ 4100/8000]  win=91.6%  states=8098  t=351s
    [ 4200/8000]  win=91.7%  states=8124  t=360s
    [ 4300/8000]  win=91.7%  states=8149  t=367s
    [ 4400/8000]  win=91.7%  states=8187  t=375s
    [ 4500/8000]  win=91.8%  states=8219  t=383s
    [ 4600/8000]  win=91.8%  states=8256  t=392s
    [ 4700/8000]  win=91.9%  states=8281  t=400s
    [ 4800/8000]  win=91.9%  states=8307  t=407s
    [ 4900/8000]  win=92.0%  states=8332  t=415s
    [ 5000/8000]  win=92.0%  states=8352  t=423s
    [ 5100/8000]  win=92.0%  states=8381  t=431s
    [ 5200/8000]  win=92.1%  states=8401  t=439s
    [ 5300/8000]  win=92.1%  states=8419  t=446s
    [ 5400/8000]  win=92.2%  states=8437  t=454s
    [ 5500/8000]  win=92.3%  states=8452  t=461s
    [ 5600/8000]  win=92.3%  states=8482  t=469s
    [ 5700/8000]  win=92.3%  states=8510  t=477s
    [ 5800/8000]  win=92.3%  states=8537  t=485s
